year,Name,Title,ActorId,ActorId,MovieId,Country,genre
1967,Anne Bancroft,The Graduate,796,796,284,Asia,Romance
2010,Anne Hathaway,Alice in Wonderland,403,403,266,America,#N/A
2008,Anne Hathaway,Get Smart,403,403,130,America,Comedy
2014,Anne Hathaway,Interstellar,403,403,69,America,Drama
2012,Anne Hathaway,Les Misérables,403,403,62,America,Drama
2010,Anne Hathaway,Love & Other Drugs,403,403,927,Asia,Romance
#N/A,Anne Hathaway,Rio,403,403,890,#N/A,Comedy
2012,Anne Hathaway,The Dark Knight Rises,403,403,779,America,#N/A
2006,Anne Hathaway,The Devil Wears Prada,403,403,425,America,Comedy
2015,Anne Hathaway,The Intern,403,403,302,Asia,Comedy
#N/A,Anne Le Ny,Intouchables,306,306,175,#N/A,Comedy
1999,Annette Bening,American Beauty,887,887,287,America,Drama
1996,Annette Bening,Mars Attacks!,887,887,583,America,Comedy
#N/A,Annie McEnroe,Beetlejuice,162,162,897,#N/A,Comedy
2012,Annika Wedderkopp,Jagten,1540,1540,880,America,Drama
2015,Ansel Elgort,Insurgent,339,339,910,America,#N/A
2014,Ansel Elgort,The Fault in Our Stars,339,339,614,America,Romance
2000,Anthony Anderson,"Me, Myself & Irene",974,974,265,Asia,Comedy
2007,Anthony Edwards,Zodiac,1688,1688,119,America,Drama
1992,Anthony Hopkins,Dracula,1797,1797,94,America,#N/A
2007,Anthony Hopkins,Fracture,1797,1797,603,America,Drama
2001,Anthony Hopkins,Hannibal,1797,1797,397,Other countries,Drama
#N/A,Anthony Hopkins,Meet Joe Black,1797,1797,116,#N/A,Romance
2014,Anthony Hopkins,Noah,1797,1797,599,America,Drama
2002,Anthony Hopkins,Red Dragon,1797,1797,964,America,Drama
1980,Anthony Hopkins,The Elephant Man,1797,1797,149,Asia,Biography
1991,Anthony Hopkins,The Silence of the Lambs,1797,1797,872,America,Drama
2011,Anthony Hopkins,Thor,1797,1797,462,America,#N/A
2013,Anthony Mackie,Pain & Gain,931,931,564,Asia,Comedy
2011,Anthony Mackie,Real Steel,931,931,596,America,Drama
2008,Anthony Mackie,The Hurt Locker,931,931,204,Other countries,Drama
1990,Anthony Michael Hall,Edward Scissorhands,845,845,621,America,Romance
1960,Anthony Perkins,Psycho,670,670,185,Other countries,#N/A
1962,Anthony Quinn,Lawrence of Arabia,1422,1422,52,America,Biography
2009,Anton Yelchin,Terminator Salvation,552,552,196,America,#N/A
1988,Antonella Attili,Nuovo Cinema Paradiso,126,126,860,America,Drama
1995,Antonio Banderas,Desperado,1500,1500,395,America,#N/A
1994,Antonio Banderas,Interview with the Vampire: The Vampire Chronicles,1500,1500,801,America,Drama
2010,Antonio Banderas,Shrek Forever After,1500,1500,336,America,Comedy
2007,Antonio Banderas,Shrek the Third,1500,1500,640,America,Comedy
2006,Antonio Tarver,Rocky Balboa,1247,1247,664,Asia,Sport
2016,Anya Taylor-Joy,Split,797,797,848,America,#N/A
2006,Ariadna Gil,El laberinto del fauno,290,290,343,America,Drama
2013,Armie Hammer,The Lone Ranger,1393,1393,256,Asia,#N/A
2015,Armie Hammer,The Man from U.N.C.L.E.,1393,1393,608,America,Comedy
2007,Armin Mueller-Stahl,Eastern Promises,1695,1695,478,America,Drama
1997,Arnold Schwarzenegger,Batman & Robin,718,718,749,Asia,#N/A
2013,Arnold Schwarzenegger,Escape Plan,718,718,698,America,#N/A
1987,Arnold Schwarzenegger,Predator,718,718,176,Asia,#N/A
